neighbourhood_group,neighbourhood,room_type,minimum_nights,price
0,6,1,2,85
1,27,1,3,600
0,197,0,1,100
1,7,1,30,150
2,61,1,1,25
0,76,0,3,57
1,19,1,31,250
0,84,0,1,80
1,7,1,30,109
0,6,0,2,60
1,23,0,4,78
1,2,0,1,55
0,6,1,4,95
1,7,1,30,300
1,18,0,3,250
1,4,0,2,90
1,2,1,25,120
1,28,1,2,165
1,7,2,1,39
1,14,0,1,110
0,6,0,3,63
0,24,1,5,45
4,99,0,1,80
0,6,0,2,65
1,8,1,5,125
1,26,0,1,85
0,6,0,1,76
1,2,0,4,55
1,8,1,30,130
0,6,0,2,65
1,19,1,1,100
0,21,1,3,90
0,76,0,7,39
2,44,1,3,115
0,12,1,7,98
0,33,0,2,50
1,14,0,1,70
1,8,1,1,175
1,14,1,5,200
0,70,1,2,87
1,14,0,1,86
0,54,1,4,95
0,24,1,2,90
0,20,0,1,99
0,15,1,30,400
1,26,0,3,115
0,16,1,30,275
1,7,0,2,105
1,5,1,30,499
0,6,1,3,85
1,5,1,29,212
2,56,0,7,70
1,2,0,2,149
0,22,1,4,745
1,14,1,2,199
1,5,1,30,150
0,15,0,2,49
1,77,0,1,229
1,1,1,2,299
2,61,0,1,49
0,84,0,30,42
1,2,0,3,75
0,29,0,13,79
0,21,1,30,110
0,12,1,2,140
0,6,0,2,70
0,6,0,2,77
0,33,1,1,78
1,11,1,3,450
4,150,1,3,109
1,28,1,2,225
2,37,1,30,115
0,12,1,7,165
1,43,1,29,100
0,12,0,1,130
1,2,1,2,250
0,12,0,3,120
0,21,0,2,29
1,11,1,30,278
1,28,1,1,215
1,28,1,4,150
1,2,0,3,95
1,8,0,1,70
2,81,0,1,50
1,9,1,2,150
1,28,1,30,99
3,158,0,2,83
0,3,1,6,125
3,185,0,3,115
0,70,0,1,75
1,28,0,1,88
1,2,1,5,99
0,76,0,3,75
1,8,1,30,240
2,37,0,3,45
2,107,1,1,180
1,43,1,29,100
0,12,0,5,85
0,3,1,3,145
2,61,0,1,85
1,18,1,3,85
1,8,1,88,115
2,56,0,2,52
1,30,0,4,43
0,12,1,2,300
1,2,0,2,50
0,22,0,5,48
1,19,1,2,189
1,2,0,1,60
1,28,1,1,150
0,15,2,15,26
0,96,1,4,135
0,15,1,2,100
1,8,1,3,100
2,25,2,1,45
0,6,0,5,44
1,28,1,3,275
0,79,0,2,95
0,6,0,3,65
1,2,1,2,99
0,15,1,2,119
1,102,1,2,100
0,20,1,2,99
2,49,0,3,85
1,1,1,1,315
2,87,0,7,90
1,19,1,2,100
1,30,0,3,60
0,76,0,1,90
0,34,1,30,260
1,64,0,7,120
1,45,0,1,210
0,21,0,1,58
0,21,0,1,85
2,44,0,1,180
0,6,1,2,125
0,6,1,7,175
0,16,0,3,69
0,6,1,31,76
0,6,1,3,130
1,27,1,2,1308
0,6,1,2,150
1,71,0,1,100
0,21,0,5,75
1,1,1,1,300
0,21,0,3,80
0,21,0,3,110
0,12,0,1,90
1,28,1,31,350
0,6,1,5,150
1,23,1,1,197
3,216,0,1,80
1,1,1,1,315
1,23,1,30,200
0,54,0,2,59
0,6,0,2,54
0,12,0,2,80
0,12,1,2,150
2,39,0,1,50
0,34,1,7,100
1,19,1,1,299
1,19,1,10,140
1,30,0,2,30
3,172,1,2,75
0,15,1,1,100
0,21,0,2,45
1,4,0,1,67
0,21,0,3,80
1,30,0,2,83
2,81,1,2,109
1,77,0,1,80
0,54,1,2,149
0,12,1,10,80
0,21,1,3,100
1,30,0,2,80
2,103,2,1,34
1,4,1,1,186
0,90,0,2,60
0,3,1,3,220
0,22,1,1,110
1,23,1,30,150
1,4,1,3,275
1,11,1,2,254
1,11,0,2,200
0,12,0,3,50
2,39,0,2,60
0,21,1,2,100
1,11,1,3,1000
1,28,1,4,235
0,21,0,7,60
2,31,1,1,87
0,6,1,2,450
0,3,0,3,45
0,12,0,3,80
1,28,0,1,100
1,1,1,2,125
0,12,0,3,72
0,22,1,3,100
4,181,1,1,102
0,20,1,2,175
2,85,1,2,600
0,6,1,1,115
0,12,0,1,115
1,11,1,2,250
1,19,1,2,200
0,6,2,31,32
0,12,1,1,150
1,7,1,2,90
1,7,0,2,160
1,8,1,4,200
1,28,1,2,250
1,30,0,1,75
2,81,0,30,37
1,30,1,5,66
